player_name,team_name,raw_position,role_group,age,age_group,minutes_played,minutes_group,performance_score,performance_percentile,performance_level,same_role_team_average,competition_status,main_same_role_player,main_same_role_minutes,main_same_role_performance_percentile,main_same_role_performance_level,is_main_same_role_player,is_blocked_by_main_player,main_player_underperforming,decision,explanation
Tyrick Mitchell,Crystal Palace,DF,Defender,24.0,Prime,3092,HighMinutes,0.3495639534883721,50.82,Promising,0.4543396399516732,Blocked,Daniel Muñoz,3228.0,53.01,Promising,False,True,False,Keep,Tyrick Mitchell is classified as Keep because: High minutes and at least promising role-based performance.
Vitaliy Mykolenko,Everton,DF,Defender,25.0,Prime,3082,HighMinutes,0.3589181286549707,54.64,Promising,0.37626099499967636,Blocked,Vitaliy Mykolenko,3082.0,54.64,Promising,True,False,False,Keep,Vitaliy Mykolenko is classified as Keep because: High minutes and at least promising role-based performance.
Calvin Bassey,Fulham,DF,Defender,24.0,Prime,3074,HighMinutes,0.2997076023391812,27.32,Poor,0.3956318427533217,Blocked,Antonee Robinson,3167.0,68.85,Good,False,True,False,Monitor,"Calvin Bassey is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Idrissa Gana Gueye,Everton,MF,Midfielder,34.0,CriticalAge,3063,HighMinutes,0.3477845683728037,72.73,Good,0.2809550315341448,Competitive,Idrissa Gana Gueye,3063.0,72.73,Good,True,False,False,Keep,Idrissa Gana Gueye is classified as Keep because: High minutes and at least promising role-based performance.
André Onana,Manchester Utd,GK,Goalkeeper,28.0,Prime,3060,HighMinutes,0.3815158371040724,65.91,Good,0.2699886877828054,Competitive,André Onana,3060.0,65.91,Good,True,False,False,Keep,André Onana is classified as Keep because: High minutes and at least promising role-based performance.
Marc Guéhi,Crystal Palace,DF,Defender,24.0,Prime,3059,HighMinutes,0.4066176470588235,69.4,Good,0.4543396399516732,Blocked,Daniel Muñoz,3228.0,53.01,Promising,False,False,False,Keep,Marc Guéhi is classified as Keep because: High minutes and at least promising role-based performance.
William Saliba,Arsenal,DF,Defender,23.0,Prime,3039,HighMinutes,0.2899408284023669,24.59,Poor,0.2999431388907817,Blocked,William Saliba,3039.0,24.59,Poor,True,False,True,Monitor,"William Saliba is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Youri Tielemans,Aston Villa,MF,Midfielder,27.0,Prime,3026,HighMinutes,0.3293135435992579,62.73,Good,0.38474493091532685,Blocked,Youri Tielemans,3026.0,62.73,Good,True,False,False,Keep,Youri Tielemans is classified as Keep because: High minutes and at least promising role-based performance.
Bruno Fernandes,Manchester Utd,MF,Midfielder,29.0,Prime,3018,HighMinutes,0.4838146927699167,92.73,Good,0.26224581665962704,Competitive,Bruno Fernandes,3018.0,92.73,Good,True,False,False,Keep,Bruno Fernandes is classified as Keep because: High minutes and at least promising role-based performance.
Ola Aina,Nott'ham Forest,DF,Defender,27.0,Prime,2995,HighMinutes,0.3145645645645645,34.97,Poor,0.503802498714699,Blocked,Nikola Milenković,3330.0,72.13,Good,False,True,False,Monitor,"Ola Aina is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Marc Cucurella,Chelsea,DF,Defender,26.0,Prime,2988,HighMinutes,0.3094879518072289,32.24,Poor,0.29496966365505745,Competitive,Levi Colwill,3149.0,29.51,Poor,False,False,True,Monitor,"Marc Cucurella is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Alex Iwobi,Fulham,"FW,MF",AttMidWinger,28.0,Prime,2981,HighMinutes,0.2519637462235649,62.38,Good,0.16642448429207538,Competitive,Alex Iwobi,2981.0,62.38,Good,True,False,False,Keep,Alex Iwobi is classified as Keep because: High minutes and at least promising role-based performance.
Lewis Cook,Bournemouth,"MF,DF",DefMidWingBack,27.0,Prime,2978,HighMinutes,0.4174723168767114,72.41,Good,0.4174723168767114,Competitive,Lewis Cook,2978.0,72.41,Good,True,False,False,Keep,Lewis Cook is classified as Keep because: High minutes and at least promising role-based performance.
João Gomes,Wolves,MF,Midfielder,23.0,Prime,2974,HighMinutes,0.2573789846517119,40.0,Average,0.1372884691066509,Competitive,João Gomes,2974.0,40.0,Average,True,False,False,Monitor,"João Gomes is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Jarrod Bowen,West Ham,"FW,MF",AttMidWinger,27.0,Prime,2973,HighMinutes,0.3372727272727272,87.13,Good,0.19285646464124453,Competitive,Jarrod Bowen,2973.0,87.13,Good,True,False,False,Keep,Jarrod Bowen is classified as Keep because: High minutes and at least promising role-based performance.
Chris Wood,Nott'ham Forest,FW,Forward,32.0,Senior,2959,HighMinutes,0.4580180034265056,76.54,Good,0.29221104886613414,Competitive,Chris Wood,2959.0,76.54,Good,True,False,False,Keep,Chris Wood is classified as Keep because: High minutes and at least promising role-based performance.
Jan Paul van Hecke,Brighton,DF,Defender,24.0,Prime,2958,HighMinutes,0.3427051671732523,46.99,Average,0.3459587788213042,Blocked,Jan Paul van Hecke,2958.0,46.99,Average,True,False,False,Monitor,"Jan Paul van Hecke is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Enzo Fernández,Chelsea,MF,Midfielder,23.0,Prime,2947,HighMinutes,0.333015608244966,65.45,Good,0.18175091067060967,Competitive,Enzo Fernández,2947.0,65.45,Good,True,False,False,Keep,Enzo Fernández is classified as Keep because: High minutes and at least promising role-based performance.
Ezri Konsa,Aston Villa,DF,Defender,26.0,Prime,2936,HighMinutes,0.2684049079754601,18.03,Poor,0.29828606275831837,Blocked,Ezri Konsa,2936.0,18.03,Poor,True,False,True,Monitor,"Ezri Konsa is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Fabian Schär,Newcastle Utd,DF,Defender,32.0,Senior,2934,HighMinutes,0.3665644171779141,59.02,Promising,0.37220444366285127,Blocked,Dan Burn,3330.0,61.75,Good,False,True,False,Keep,Fabian Schär is classified as Keep because: High minutes and at least promising role-based performance.
James Tarkowski,Everton,DF,Defender,31.0,Senior,2922,HighMinutes,0.5276923076923077,94.54,Good,0.37626099499967636,Competitive,Vitaliy Mykolenko,3082.0,54.64,Promising,False,False,False,Keep,James Tarkowski is classified as Keep because: High minutes and at least promising role-based performance.
Yoane Wissa,Brentford,FW,Forward,27.0,Prime,2919,HighMinutes,0.4825269143351694,80.25,Good,0.44729235226646064,Competitive,Bryan Mbeumo,3414.0,86.42,Good,False,True,False,Keep,Yoane Wissa is classified as Keep because: High minutes and at least promising role-based performance.
Kyle Walker-Peters,Southampton,DF,Defender,27.0,Prime,2918,HighMinutes,0.2438271604938272,13.11,Poor,0.4255671718274739,Blocked,Kyle Walker-Peters,2918.0,13.11,Poor,True,False,True,Monitor,"Kyle Walker-Peters is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
James Justin,Leicester City,DF,Defender,26.0,Prime,2912,HighMinutes,0.4074074074074074,69.95,Good,0.3703769851059906,Competitive,James Justin,2912.0,69.95,Good,True,False,False,Keep,James Justin is classified as Keep because: High minutes and at least promising role-based performance.
Mikkel Damsgaard,Brentford,"MF,FW",AttMidWinger,24.0,Prime,2911,HighMinutes,0.2219814241486068,55.45,Promising,0.307651028022545,Blocked,Mikkel Damsgaard,2911.0,55.45,Promising,True,False,False,Keep,Mikkel Damsgaard is classified as Keep because: High minutes and at least promising role-based performance.
Mateus Fernandes,Southampton,MF,Midfielder,20.0,Young,2909,HighMinutes,0.2973342447026658,56.36,Promising,0.2996748321784808,Blocked,Mateus Fernandes,2909.0,56.36,Promising,True,False,False,Keep,Mateus Fernandes is classified as Keep because: High minutes and at least promising role-based performance.
Nélson Semedo,Wolves,DF,Defender,30.0,Senior,2886,HighMinutes,0.2959501557632398,26.23,Poor,0.35222676263934233,Blocked,Rayan Aït-Nouri,3109.0,18.58,Poor,False,False,True,Sell,"Nélson Semedo is classified as Sell because: High minutes, poor role-based performance, and older than 29."
Robert Sánchez,Chelsea,GK,Goalkeeper,26.0,Prime,2880,HighMinutes,0.4344711538461538,88.64,Good,0.4010176282051282,Competitive,Robert Sánchez,2880.0,88.64,Good,True,False,False,Keep,Robert Sánchez is classified as Keep because: High minutes and at least promising role-based performance.
Valentino Livramento,Newcastle Utd,DF,Defender,21.0,Young,2840,HighMinutes,0.3085443037974683,31.69,Poor,0.37220444366285127,Blocked,Dan Burn,3330.0,61.75,Good,False,True,False,Monitor,"Valentino Livramento is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Noussair Mazraoui,Manchester Utd,DF,Defender,26.0,Prime,2838,HighMinutes,0.3531746031746031,53.55,Promising,0.33137093994753924,Competitive,Noussair Mazraoui,2838.0,53.55,Promising,True,False,False,Keep,Noussair Mazraoui is classified as Keep because: High minutes and at least promising role-based performance.
Taylor Harwood-Bellis,Southampton,DF,Defender,22.0,Young,2825,HighMinutes,0.3980891719745223,67.76,Good,0.4255671718274739,Blocked,Kyle Walker-Peters,2918.0,13.11,Poor,False,False,True,Keep,Taylor Harwood-Bellis is classified as Keep because: High minutes and at least promising role-based performance.
Declan Rice,Arsenal,MF,Midfielder,25.0,Prime,2825,HighMinutes,0.3616924476797089,73.64,Good,0.2770936662212029,Competitive,Declan Rice,2825.0,73.64,Good,True,False,False,Keep,Declan Rice is classified as Keep because: High minutes and at least promising role-based performance.
Jamie Vardy,Leicester City,FW,Forward,37.0,CriticalAge,2823,HighMinutes,0.3127160409679748,48.15,Average,0.19903154208195856,Competitive,Jamie Vardy,2823.0,48.15,Average,True,False,False,Monitor,"Jamie Vardy is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Christian Nørgaard,Brentford,MF,Midfielder,30.0,Senior,2819,HighMinutes,0.4611841832289117,91.82,Good,0.20296177596043155,Competitive,Christian Nørgaard,2819.0,91.82,Good,True,False,False,Keep,Christian Nørgaard is classified as Keep because: High minutes and at least promising role-based performance.
Wout Faes,Leicester City,DF,Defender,26.0,Prime,2815,HighMinutes,0.4472843450479233,79.23,Good,0.3703769851059906,Competitive,James Justin,2912.0,69.95,Good,False,False,False,Keep,Wout Faes is classified as Keep because: High minutes and at least promising role-based performance.
Diogo Dalot,Manchester Utd,DF,Defender,25.0,Prime,2814,HighMinutes,0.2635782747603834,16.94,Poor,0.33137093994753924,Blocked,Noussair Mazraoui,2838.0,53.55,Promising,False,True,False,Monitor,"Diogo Dalot is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Morgan Gibbs-White,Nott'ham Forest,MF,Midfielder,24.0,Prime,2803,HighMinutes,0.4240614690775462,89.09,Good,0.3551953748988307,Competitive,Morgan Gibbs-White,2803.0,89.09,Good,True,False,False,Keep,Morgan Gibbs-White is classified as Keep because: High minutes and at least promising role-based performance.
Thomas Partey,Arsenal,"MF,DF",DefMidWingBack,31.0,Senior,2797,HighMinutes,0.32728438229942,51.72,Promising,0.3183974137449528,Competitive,Thomas Partey,2797.0,51.72,Promising,True,False,False,Keep,Thomas Partey is classified as Keep because: High minutes and at least promising role-based performance.
Kepa Arrizabalaga,Bournemouth,GK,Goalkeeper,29.0,Prime,2790,HighMinutes,0.4039578163771712,75.0,Good,0.43798593879239034,Blocked,Kepa Arrizabalaga,2790.0,75.0,Good,True,False,False,Keep,Kepa Arrizabalaga is classified as Keep because: High minutes and at least promising role-based performance.
Alexander Isak,Newcastle Utd,FW,Forward,24.0,Prime,2756,HighMinutes,0.6618557010050143,96.3,Good,0.3759541289065876,Competitive,Alexander Isak,2756.0,96.3,Good,True,False,False,Keep,Alexander Isak is classified as Keep because: High minutes and at least promising role-based performance.
Sam Morsy,Ipswich Town,MF,Midfielder,32.0,Senior,2751,HighMinutes,0.2291825821237586,31.82,Poor,0.2160135784917273,Competitive,Sam Morsy,2751.0,31.82,Poor,True,False,True,Sell,"Sam Morsy is classified as Sell because: High minutes, poor role-based performance, and older than 29."
Leif Davis,Ipswich Town,DF,Defender,24.0,Prime,2743,HighMinutes,0.2459016393442623,13.66,Poor,0.34074415498568383,Blocked,Dara O'Shea,3122.0,87.98,Good,False,True,False,Monitor,"Leif Davis is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Erling Haaland,Manchester City,FW,Forward,24.0,Prime,2736,HighMinutes,0.5339378283008241,88.89,Good,0.13348445707520604,Competitive,Erling Haaland,2736.0,88.89,Good,True,False,False,Keep,Erling Haaland is classified as Keep because: High minutes and at least promising role-based performance.
Elliot Anderson,Nott'ham Forest,MF,Midfielder,21.0,Young,2728,HighMinutes,0.3728944323003728,77.27,Good,0.3551953748988307,Competitive,Morgan Gibbs-White,2803.0,89.09,Good,False,True,False,Keep,Elliot Anderson is classified as Keep because: High minutes and at least promising role-based performance.
Ismaila Sarr,Crystal Palace,MF,Midfielder,26.0,Prime,2711,HighMinutes,0.3326573758467446,64.55,Good,0.40305694297822864,Blocked,Ismaila Sarr,2711.0,64.55,Good,True,False,False,Keep,Ismaila Sarr is classified as Keep because: High minutes and at least promising role-based performance.
Aaron Ramsdale,Southampton,GK,Goalkeeper,26.0,Prime,2700,HighMinutes,0.283076923076923,27.27,Poor,0.26354700854700847,Competitive,Aaron Ramsdale,2700.0,27.27,Poor,True,False,True,Monitor,"Aaron Ramsdale is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Bernardo Silva,Manchester City,"MF,FW",AttMidWinger,29.0,Prime,2670,HighMinutes,0.1777777777777777,40.59,Average,0.2636340109470124,Blocked,Bernardo Silva,2670.0,40.59,Average,True,False,False,Monitor,"Bernardo Silva is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Carlos Baleba,Brighton,MF,Midfielder,20.0,Young,2661,HighMinutes,0.3731572481572481,78.18,Good,0.24438794637575967,Competitive,Carlos Baleba,2661.0,78.18,Good,True,False,False,Keep,Carlos Baleba is classified as Keep because: High minutes and at least promising role-based performance.
Jean-Philippe Mateta,Crystal Palace,FW,Forward,27.0,Prime,2648,HighMinutes,0.3548809783795589,59.26,Promising,0.3548809783795589,Competitive,Jean-Philippe Mateta,2648.0,59.26,Promising,True,False,False,Keep,Jean-Philippe Mateta is classified as Keep because: High minutes and at least promising role-based performance.
Sandro Tonali,Newcastle Utd,MF,Midfielder,24.0,Prime,2630,HighMinutes,0.335571962284291,68.18,Good,0.2993343617438422,Competitive,Bruno Guimarães,3271.0,71.82,Good,False,True,False,Keep,Sandro Tonali is classified as Keep because: High minutes and at least promising role-based performance.
Toti Gomes,Wolves,DF,Defender,25.0,Prime,2614,HighMinutes,0.4077586206896551,70.49,Good,0.35222676263934233,Competitive,Rayan Aït-Nouri,3109.0,18.58,Poor,False,False,True,Keep,Toti Gomes is classified as Keep because: High minutes and at least promising role-based performance.
Pedro Porro,Tottenham,DF,Defender,24.0,Prime,2610,HighMinutes,0.3396551724137931,45.36,Average,0.34279243562781686,Blocked,Pedro Porro,2610.0,45.36,Average,True,False,False,Monitor,"Pedro Porro is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
José Sá,Wolves,GK,Goalkeeper,31.0,Senior,2609,HighMinutes,0.3239787798408488,36.36,Poor,0.27569249715801436,Competitive,José Sá,2609.0,36.36,Poor,True,False,True,Sell,"José Sá is classified as Sell because: High minutes, poor role-based performance, and older than 29."
Kaoru Mitoma,Brighton,"FW,MF",AttMidWinger,27.0,Prime,2603,HighMinutes,0.2833910034602076,73.27,Good,0.26387919687145445,Competitive,Kaoru Mitoma,2603.0,73.27,Good,True,False,False,Keep,Kaoru Mitoma is classified as Keep because: High minutes and at least promising role-based performance.
Alexis Mac Allister,Liverpool,MF,Midfielder,25.0,Prime,2599,HighMinutes,0.3848919246843123,82.73,Good,0.3152223692405457,Competitive,Ryan Gravenberch,3160.0,76.36,Good,False,False,False,Keep,Alexis Mac Allister is classified as Keep because: High minutes and at least promising role-based performance.
Ollie Watkins,Aston Villa,FW,Forward,28.0,Prime,2598,HighMinutes,0.6392958375493357,95.06,Good,0.5752056741661761,Competitive,Ollie Watkins,2598.0,95.06,Good,True,False,False,Keep,Ollie Watkins is classified as Keep because: High minutes and at least promising role-based performance.
Matheus Cunha,Wolves,"MF,FW",AttMidWinger,25.0,Prime,2597,HighMinutes,0.3944636678200692,93.07,Good,0.20950131411772682,Competitive,Matheus Cunha,2597.0,93.07,Good,True,False,False,Keep,Matheus Cunha is classified as Keep because: High minutes and at least promising role-based performance.
Neco Williams,Nott'ham Forest,DF,Defender,23.0,Prime,2594,HighMinutes,0.4427083333333333,77.6,Good,0.503802498714699,Blocked,Nikola Milenković,3330.0,72.13,Good,False,False,False,Keep,Neco Williams is classified as Keep because: High minutes and at least promising role-based performance.
Liam Delap,Ipswich Town,FW,Forward,21.0,Young,2593,HighMinutes,0.3218952464147921,50.62,Promising,0.1794777515678584,Competitive,Liam Delap,2593.0,50.62,Promising,True,False,False,Keep,Liam Delap is classified as Keep because: High minutes and at least promising role-based performance.
Mohammed Kudus,West Ham,"FW,MF",AttMidWinger,23.0,Prime,2590,HighMinutes,0.1708333333333333,37.62,Poor,0.19285646464124453,Blocked,Jarrod Bowen,2973.0,87.13,Good,False,True,False,Monitor,"Mohammed Kudus is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Eberechi Eze,Crystal Palace,"MF,FW",AttMidWinger,26.0,Prime,2588,HighMinutes,0.290625,74.26,Good,0.38125156772575247,Blocked,Eberechi Eze,2588.0,74.26,Good,True,False,False,Keep,Eberechi Eze is classified as Keep because: High minutes and at least promising role-based performance.
Jørgen Strand Larsen,Wolves,FW,Forward,24.0,Prime,2587,HighMinutes,0.4434347684817752,72.84,Good,0.4434347684817752,Competitive,Jørgen Strand Larsen,2587.0,72.84,Good,True,False,False,Keep,Jørgen Strand Larsen is classified as Keep because: High minutes and at least promising role-based performance.
Sepp van den Berg,Brentford,DF,Defender,22.0,Young,2586,HighMinutes,0.3945993031358885,67.21,Good,0.32863303828044144,Competitive,Nathan Collins,3420.0,84.7,Good,False,True,False,Keep,Sepp van den Berg is classified as Keep because: High minutes and at least promising role-based performance.
Joachim Andersen,Fulham,DF,Defender,28.0,Prime,2583,HighMinutes,0.4747386759581882,85.25,Good,0.3956318427533217,Competitive,Antonee Robinson,3167.0,68.85,Good,False,False,False,Keep,Joachim Andersen is classified as Keep because: High minutes and at least promising role-based performance.
